tier,run,warmup,response_ms,first_event_ms,first_text_ms,total_ms,status,service_tier_patched,error
default,1,true,465.3,465.5,994.6,1079.3,200,false,
priority,1,true,579.3,579.4,1150.3,1344.8,200,true,
default,2,true,474.4,474.5,2248.0,2359.4,200,false,
priority,2,true,498.0,498.5,1106.0,1197.5,200,true,
priority,1,false,563.1,563.4,1196.6,1323.7,200,true,
priority,2,false,451.2,451.3,1080.4,1176.8,200,true,
priority,3,false,505.8,506.0,1359.3,1426.6,200,true,
priority,4,false,2183.4,2183.4,2746.7,2836.6,200,true,
default,1,false,468.8,468.9,961.3,1057.4,200,false,
priority,5,false,424.4,424.5,932.4,1017.9,200,true,
priority,6,false,788.5,797.0,1270.8,1416.4,200,true,
default,2,false,450.1,450.2,1006.4,1104.8,200,false,
default,3,false,474.2,474.3,1194.8,1264.4,200,false,
priority,7,false,486.1,486.2,980.7,1066.4,200,true,
priority,8,false,453.9,453.9,939.3,1015.6,200,true,
priority,9,false,706.3,706.3,1243.7,1336.1,200,true,
default,4,false,779.7,779.8,1372.9,1516.3,200,false,
priority,10,false,533.5,533.6,1044.1,1160.1,200,true,
default,5,false,494.9,495.1,1387.9,1700.9,200,false,
priority,11,false,739.0,739.3,1819.2,2165.7,200,true,
default,6,false,477.8,477.8,1077.5,1156.4,200,false,
priority,12,false,547.9,548.0,1077.8,1150.2,200,true,
priority,13,false,574.7,574.8,1162.5,1235.7,200,true,
default,7,false,543.1,543.4,1081.7,1196.3,200,false,
priority,14,false,537.5,537.6,1090.6,1200.2,200,true,
default,8,false,425.4,425.8,1040.6,1143.4,200,false,
default,9,false,488.4,488.6,957.7,1097.0,200,false,
default,10,false,1829.4,1829.5,2349.6,2468.4,200,false,
priority,15,false,475.8,475.9,1196.9,1273.6,200,true,
priority,16,false,721.4,721.6,1552.8,1700.5,200,true,
default,11,false,495.8,495.9,1151.7,1227.1,200,false,
default,12,false,426.9,427.0,1345.3,1429.1,200,false,
priority,17,false,495.8,495.9,1174.1,1241.6,200,true,
default,13,false,502.3,502.4,1078.7,1194.2,200,false,
default,14,false,464.4,464.5,1868.3,1957.7,200,false,
default,15,false,474.6,474.7,1459.1,1503.4,200,false,
default,16,false,442.5,442.6,860.1,943.9,200,false,
default,17,false,842.0,842.1,1809.2,1946.1,200,false,
default,18,false,619.4,619.5,1082.6,1162.4,200,false,
priority,18,false,516.8,517.0,1015.5,1116.1,200,true,
default,19,false,512.0,512.0,925.6,1080.0,200,false,
priority,19,false,452.9,453.0,957.3,1031.0,200,true,
priority,20,false,830.0,830.2,1707.5,1792.2,200,true,
priority,21,false,417.0,417.0,987.3,1067.7,200,true,
default,20,false,627.5,627.6,1277.5,1407.7,200,false,
default,21,false,542.9,543.0,1093.7,1187.2,200,false,
priority,22,false,497.3,497.6,1190.6,1280.1,200,true,
default,22,false,516.4,516.5,974.0,1062.8,200,false,
priority,23,false,452.3,452.4,1715.2,1787.1,200,true,
default,23,false,531.2,531.3,1594.5,1665.7,200,false,
default,24,false,1789.9,1790.0,3089.4,3202.7,200,false,
priority,24,false,463.2,463.3,1072.8,1181.6,200,true,
default,25,false,456.4,456.6,1488.8,1573.1,200,false,
priority,25,false,438.2,438.2,1389.2,1488.0,200,true,
default,26,false,426.9,427.0,1072.2,1154.7,200,false,
default,27,false,455.9,456.0,1190.2,1265.0,200,false,
priority,26,false,533.2,533.3,1083.9,1194.6,200,true,
priority,27,false,431.3,431.4,975.1,2542.9,200,true,
default,28,false,515.8,516.0,1052.9,1132.5,200,false,
priority,28,false,443.8,443.9,992.0,1086.4,200,true,
priority,29,false,551.9,552.1,1475.9,1550.2,200,true,
default,29,false,495.2,495.3,1012.1,2319.3,200,false,
priority,30,false,677.9,678.0,1843.0,1952.7,200,true,
default,30,false,589.6,589.6,1333.9,1423.7,200,false,
