tier,run,warmup,response_ms,first_event_ms,first_text_ms,first_text_delta_ms,total_ms,text_chars,estimated_tokens,tokens_per_second,status,service_tier_patched,error
priority,1,true,452.9,453.1,2452.7,2455.4,5813.1,1201,300.3,89.4,200,true,
default,1,true,1134.5,1134.6,14193.5,14209.9,14907.2,1198,299.5,429.5,200,false,
priority,2,true,515.3,515.4,12278.8,12330.4,13471.4,1215,303.8,266.2,200,true,
default,2,true,445.5,445.6,2054.8,2058.6,5231.5,1201,300.3,94.6,200,false,
priority,1,false,464.0,464.1,2560.1,2567.8,5498.1,1168,292.0,99.6,200,true,
priority,2,false,597.9,598.1,11625.3,11640.5,12187.1,1244,311.0,568.9,200,true,
default,1,false,440.6,440.8,3234.9,3238.9,6346.8,1203,300.8,96.8,200,false,
default,2,false,542.8,543.6,14789.4,14791.4,15694.0,1157,289.3,320.5,200,false,
priority,3,false,451.5,451.6,2208.0,2212.4,5564.9,1173,293.3,87.5,200,true,
priority,4,false,486.8,486.9,11447.3,11452.2,12121.4,1180,295.0,440.9,200,true,
priority,5,false,429.7,430.0,13212.2,13261.8,13756.2,1156,289.0,584.5,200,true,
priority,6,false,577.8,577.9,2550.8,2550.8,6620.3,1210,302.5,74.3,200,true,
default,3,false,401.0,401.1,12027.0,12027.4,12511.8,1229,307.3,634.4,200,false,
default,4,false,411.4,411.5,3314.9,3323.5,5281.5,1195,298.8,152.6,200,false,
default,5,false,436.5,436.6,2242.9,2250.7,5349.1,1131,282.8,91.3,200,false,
default,6,false,638.7,638.9,14093.3,14095.7,14600.0,1257,314.3,623.1,200,false,
priority,7,false,455.2,455.4,2669.3,2695.3,5575.9,1167,291.8,101.3,200,true,
priority,8,false,460.3,460.4,2193.6,2197.4,7569.7,1225,306.3,57.0,200,true,
priority,9,false,508.3,508.3,4409.7,4415.1,5579.2,1223,305.8,262.7,200,true,
default,7,false,455.6,455.9,2288.8,2293.5,5852.5,1182,295.5,83.0,200,false,
priority,10,false,510.6,510.7,13138.9,13141.1,13823.3,1230,307.5,450.7,200,true,
default,8,false,439.1,439.1,11653.8,11700.7,13117.9,1232,308.0,217.3,200,false,
default,9,false,470.8,470.8,12063.3,12070.9,13380.7,1220,305.0,232.9,200,false,
default,10,false,1522.5,1522.6,5954.3,5962.2,7496.2,1189,297.3,193.8,200,false,
default,11,false,501.8,501.8,14710.4,14710.5,15267.3,1165,291.3,523.0,200,false,
default,12,false,3516.2,3516.4,6104.6,6106.9,8652.2,1199,299.8,117.8,200,false,
priority,11,false,447.2,447.3,12706.7,12714.4,13385.9,1194,298.5,444.5,200,true,
priority,12,false,439.9,440.2,3160.0,3160.0,6498.6,1218,304.5,91.2,200,true,
default,13,false,443.1,443.2,2471.9,2475.8,5966.9,1206,301.5,86.4,200,false,
default,14,false,467.8,467.9,13283.9,13301.1,14318.3,1187,296.8,291.7,200,false,
default,15,false,601.7,601.9,2582.5,2582.7,6108.1,1016,254.0,72.0,200,false,
default,16,false,436.8,436.8,12022.4,12080.1,13662.1,1213,303.3,191.7,200,false,
default,17,false,619.3,619.4,3029.2,3029.2,7672.2,1180,295.0,63.5,200,false,
default,18,false,619.8,619.9,12542.6,12546.8,13056.9,1242,310.5,608.7,200,false,
default,19,false,486.9,487.0,14081.5,14090.3,14758.6,1159,289.8,433.5,200,false,
priority,13,false,461.9,462.0,13165.3,13172.7,13758.1,1203,300.8,513.7,200,true,
priority,14,false,469.7,469.8,13806.1,13817.8,14359.4,1237,309.3,570.9,200,true,
priority,15,false,440.1,440.3,13487.8,13492.1,14073.7,1236,309.0,531.3,200,true,
priority,16,false,461.7,461.8,13533.4,13535.2,14089.1,1253,313.3,565.5,200,true,
priority,17,false,559.0,559.1,12460.4,12462.4,14240.9,1206,301.5,169.5,200,true,
priority,18,false,458.1,458.2,2082.2,2085.0,5386.5,1148,287.0,86.9,200,true,
priority,19,false,542.9,543.0,2351.9,2354.5,6174.6,1211,302.8,79.3,200,true,
priority,20,false,948.0,948.1,3739.7,3748.7,5565.2,1198,299.5,164.9,200,true,
default,20,false,463.2,463.3,13768.3,13768.3,14928.2,1198,299.5,258.2,200,false,
